addr	segment	vma	state	pfn	path
789230c41000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c42000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c43000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c44000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c45000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c46000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c47000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c48000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c49000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c4a000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c4b000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c4c000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c4d000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c4e000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c4f000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c50000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c51000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c52000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c53000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c54000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c55000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c56000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c57000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c58000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c59000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c5a000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c5b000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c5c000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c5d000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c5e000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c5f000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c60000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
